행정구역별,시군구별,유형별,병상수,의사 인력수
서울,소계,상급종합,소계,10372
서울,소계,종합병원,500병상이상,2224
서울,소계,종합병원,300~499병상,1524
서울,소계,종합병원,100~299병상,823
서울,소계,병원,100병상이상,587
서울,소계,병원,30~99병상,1293
서울,종로구,상급종합,소계,1916
서울,종로구,종합병원,100~299병상,87
서울,종로구,병원,30~99병상,33
서울,중구,종합병원,300~499병상,362
서울,중구,종합병원,100~299병상,121
서울,중구,병원,100병상이상,41
서울,중구,병원,30~99병상,6
서울,용산구,종합병원,500병상이상,337
서울,용산구,병원,100병상이상,10
서울,용산구,병원,30~99병상,9
서울,성동구,상급종합,소계,459
서울,성동구,병원,100병상이상,4
서울,성동구,병원,30~99병상,18
서울,광진구,상급종합,소계,444
서울,광진구,종합병원,100~299병상,34
서울,광진구,병원,100병상이상,42
서울,광진구,병원,30~99병상,16
서울,동대문구,상급종합,소계,387
서울,동대문구,종합병원,300~499병상,240
서울,동대문구,종합병원,100~299병상,62
서울,동대문구,병원,100병상이상,36
서울,동대문구,병원,30~99병상,58
서울,중랑구,종합병원,500병상이상,198
서울,중랑구,종합병원,300~499병상,43
서울,중랑구,병원,100병상이상,11
서울,중랑구,병원,30~99병상,62
서울,성북구,상급종합,소계,502
서울,성북구,병원,100병상이상,10
서울,성북구,병원,30~99병상,27
서울,강북구,종합병원,100~299병상,17
서울,강북구,병원,100병상이상,42
서울,강북구,병원,30~99병상,42
서울,도봉구,종합병원,300~499병상,117
서울,도봉구,병원,100병상이상,37
서울,도봉구,병원,30~99병상,32
서울,노원구,종합병원,500병상이상,543
서울,노원구,종합병원,300~499병상,207
서울,노원구,병원,30~99병상,43
서울,은평구,종합병원,100~299병상,22
서울,은평구,병원,100병상이상,56
서울,은평구,병원,30~99병상,71
서울,서대문구,상급종합,소계,1308
서울,서대문구,종합병원,100~299병상,23
서울,서대문구,병원,30~99병상,24
서울,마포구,병원,100병상이상,16
서울,양천구,상급종합,소계,428
서울,양천구,종합병원,300~499병상,64
서울,양천구,병원,100병상이상,74
서울,양천구,병원,30~99병상,10
서울,강서구,종합병원,100~299병상,115
서울,강서구,병원,100병상이상,15
서울,강서구,병원,30~99병상,97
서울,구로구,상급종합,소계,458
서울,구로구,종합병원,100~299병상,28
서울,구로구,병원,100병상이상,3
서울,구로구,병원,30~99병상,64
서울,금천구,종합병원,100~299병상,24
서울,금천구,병원,100병상이상,17
서울,금천구,병원,30~99병상,18
서울,영등포구,종합병원,500병상이상,239
서울,영등포구,종합병원,300~499병상,362
서울,영등포구,종합병원,100~299병상,118
서울,영등포구,병원,100병상이상,20
서울,영등포구,병원,30~99병상,97
서울,동작구,상급종합,소계,392
서울,동작구,종합병원,500병상이상,196
서울,동작구,병원,100병상이상,12
서울,동작구,병원,30~99병상,40
서울,관악구,종합병원,100~299병상,64
서울,관악구,병원,30~99병상,37
서울,서초구,상급종합,소계,806
서울,서초구,병원,100병상이상,32
서울,서초구,병원,30~99병상,95
서울,강남구,상급종합,소계,1798
서울,강남구,종합병원,100~299병상,108
서울,강남구,병원,100병상이상,77
서울,강남구,병원,30~99병상,237
서울,송파구,상급종합,소계,1474
서울,송파구,종합병원,300~499병상,129
서울,송파구,병원,100병상이상,30
서울,송파구,병원,30~99병상,74
서울,강동구,종합병원,500병상이상,711
서울,강동구,병원,100병상이상,2
서울,강동구,병원,30~99병상,83
부산,소계,상급종합,소계,1566
부산,소계,종합병원,500병상이상,452
부산,소계,종합병원,300~499병상,740
부산,소계,종합병원,100~299병상,410
부산,소계,병원,100병상이상,506
부산,소계,병원,30~99병상,402
부산,중구,종합병원,300~499병상,100
부산,서구,상급종합,소계,1177
부산,서구,종합병원,100~299병상,32
부산,서구,병원,100병상이상,10
부산,서구,병원,30~99병상,3
부산,동구,종합병원,300~499병상,72
부산,동구,종합병원,100~299병상,100
부산,동구,병원,100병상이상,14
부산,동구,병원,30~99병상,24
부산,영도구,종합병원,100~299병상,58
부산,부산진구,상급종합,소계,389
부산,부산진구,종합병원,300~499병상,135
부산,부산진구,종합병원,100~299병상,23
부산,부산진구,병원,100병상이상,32
부산,부산진구,병원,30~99병상,46
부산,동래구,종합병원,300~499병상,76
부산,동래구,종합병원,100~299병상,60
부산,동래구,병원,100병상이상,55
부산,동래구,병원,30~99병상,51
부산,남구,종합병원,300~499병상,97
부산,남구,병원,100병상이상,43
부산,남구,병원,30~99병상,12
부산,북구,종합병원,300~499병상,46
부산,북구,병원,100병상이상,79
부산,북구,병원,30~99병상,27
부산,해운대구,종합병원,500병상이상,291
부산,해운대구,종합병원,100~299병상,31
부산,해운대구,병원,100병상이상,45
부산,해운대구,병원,30~99병상,60
부산,사하구,병원,100병상이상,68
부산,사하구,병원,30~99병상,60
부산,금정구,종합병원,300~499병상,67
부산,금정구,병원,100병상이상,43
부산,금정구,병원,30~99병상,28
부산,강서구,병원,100병상이상,9
부산,연제구,종합병원,500병상이상,88
부산,연제구,병원,100병상이상,22
부산,연제구,병원,30~99병상,35
부산,수영구,종합병원,300~499병상,75
부산,수영구,종합병원,100~299병상,48
부산,수영구,병원,100병상이상,26
부산,수영구,병원,30~99병상,38
부산,사상구,종합병원,500병상이상,73
부산,사상구,종합병원,300~499병상,72
부산,사상구,병원,100병상이상,50
부산,사상구,병원,30~99병상,8
부산,기장군,종합병원,100~299병상,58
부산,기장군,병원,100병상이상,10
부산,기장군,병원,30~99병상,10
대구,소계,상급종합,소계,1701
대구,소계,종합병원,500병상이상,380
대구,소계,종합병원,300~499병상,45
대구,소계,종합병원,100~299병상,110
대구,소계,병원,100병상이상,446
대구,소계,병원,30~99병상,346
대구,중구,상급종합,소계,995
대구,중구,종합병원,100~299병상,39
대구,중구,병원,100병상이상,27
대구,중구,병원,30~99병상,25
대구,동구,종합병원,500병상이상,224
대구,동구,병원,100병상이상,45
대구,동구,병원,30~99병상,15
대구,서구,종합병원,500병상이상,57
대구,서구,병원,100병상이상,27
대구,서구,병원,30~99병상,14
대구,남구,상급종합,소계,706
대구,남구,병원,100병상이상,60
대구,남구,병원,30~99병상,23
대구,북구,종합병원,500병상이상,99
대구,북구,종합병원,100~299병상,22
대구,북구,병원,100병상이상,72
대구,북구,병원,30~99병상,54
대구,수성구,종합병원,100~299병상,21
대구,수성구,병원,100병상이상,25
대구,수성구,병원,30~99병상,111
대구,달서구,종합병원,300~499병상,45
대구,달서구,종합병원,100~299병상,28
대구,달서구,병원,100병상이상,169
대구,달서구,병원,30~99병상,95
대구,달성군,병원,100병상이상,21
대구,달성군,병원,30~99병상,9
인천,소계,상급종합,소계,1215
인천,소계,종합병원,500병상이상,134
인천,소계,종합병원,300~499병상,283
인천,소계,종합병원,100~299병상,237
인천,소계,병원,100병상이상,164
인천,소계,병원,30~99병상,233
인천,중구,상급종합,소계,410
인천,중구,종합병원,100~299병상,43
인천,동구,종합병원,100~299병상,55
인천,남구,종합병원,300~499병상,99
인천,남구,병원,100병상이상,28
인천,남구,병원,30~99병상,65
인천,연수구,종합병원,300~499병상,38
인천,연수구,종합병원,100~299병상,13
인천,연수구,병원,100병상이상,11
인천,연수구,병원,30~99병상,14
인천,남동구,상급종합,소계,544
인천,남동구,병원,100병상이상,41
인천,남동구,병원,30~99병상,18
인천,부평구,상급종합,소계,261
인천,부평구,종합병원,300~499병상,28
인천,부평구,종합병원,100~299병상,44
인천,부평구,병원,100병상이상,47
인천,부평구,병원,30~99병상,61
인천,계양구,종합병원,300~499병상,73
인천,계양구,병원,100병상이상,7
인천,계양구,병원,30~99병상,32
인천,서구,종합병원,500병상이상,134
인천,서구,종합병원,300~499병상,45
인천,서구,종합병원,100~299병상,82
인천,서구,병원,100병상이상,20
인천,서구,병원,30~99병상,34
인천,강화군,병원,100병상이상,10
인천,강화군,병원,30~99병상,1
인천,옹진군,병원,30~99병상,8
광주,소계,상급종합,소계,726
광주,소계,종합병원,500병상이상,236
광주,소계,종합병원,300~499병상,43
광주,소계,종합병원,100~299병상,362
광주,소계,병원,100병상이상,282
광주,소계,병원,30~99병상,259
광주,동구,상급종합,소계,726
광주,동구,병원,100병상이상,28
광주,동구,병원,30~99병상,8
광주,서구,종합병원,500병상이상,1
광주,서구,종합병원,100~299병상,101
광주,서구,병원,100병상이상,50
광주,서구,병원,30~99병상,80
광주,남구,종합병원,500병상이상,148
광주,남구,종합병원,100~299병상,50
광주,남구,병원,100병상이상,35
광주,남구,병원,30~99병상,32
광주,북구,종합병원,100~299병상,118
광주,북구,병원,100병상이상,105
광주,북구,병원,30~99병상,76
광주,광산구,종합병원,500병상이상,87
광주,광산구,종합병원,300~499병상,43
광주,광산구,종합병원,100~299병상,93
광주,광산구,병원,100병상이상,64
광주,광산구,병원,30~99병상,63
대전,소계,상급종합,소계,479
대전,소계,종합병원,500병상이상,750
대전,소계,종합병원,300~499병상,136
대전,소계,종합병원,100~299병상,143
대전,소계,병원,100병상이상,126
대전,소계,병원,30~99병상,147
대전,동구,종합병원,100~299병상,34
대전,동구,병원,100병상이상,2
대전,동구,병원,30~99병상,5
대전,중구,상급종합,소계,479
대전,중구,종합병원,500병상이상,204
대전,중구,종합병원,300~499병상,95
대전,중구,병원,100병상이상,5
대전,중구,병원,30~99병상,18
대전,서구,종합병원,500병상이상,546
대전,서구,종합병원,100~299병상,22
대전,서구,병원,100병상이상,47
대전,서구,병원,30~99병상,121
대전,유성구,종합병원,100~299병상,63
대전,유성구,병원,100병상이상,58
대전,유성구,병원,30~99병상,1
대전,대덕구,종합병원,300~499병상,41
대전,대덕구,종합병원,100~299병상,24
대전,대덕구,병원,100병상이상,14
대전,대덕구,병원,30~99병상,2
울산,소계,상급종합,소계,303
울산,소계,종합병원,500병상이상,94
울산,소계,종합병원,100~299병상,131
울산,소계,병원,100병상이상,126
울산,소계,병원,30~99병상,135
울산,중구,종합병원,500병상이상,94
울산,중구,병원,100병상이상,18
울산,중구,병원,30~99병상,28
울산,남구,종합병원,100~299병상,87
울산,남구,병원,100병상이상,66
울산,남구,병원,30~99병상,97
울산,동구,상급종합,소계,303
울산,동구,병원,100병상이상,3
울산,동구,병원,30~99병상,3
울산,북구,종합병원,100~299병상,24
울산,북구,병원,100병상이상,10
울산,북구,병원,30~99병상,3
울산,울주군,종합병원,100~299병상,20
울산,울주군,병원,100병상이상,29
울산,울주군,병원,30~99병상,4
세종,소계,병원,30~99병상,6
세종,세종시,병원,30~99병상,6
경기,소계,상급종합,소계,2130
경기,소계,종합병원,500병상이상,3215
경기,소계,종합병원,300~499병상,815
경기,소계,종합병원,100~299병상,648
경기,소계,병원,100병상이상,1131
경기,소계,병원,30~99병상,1026
경기,수원시장안구,종합병원,100~299병상,25
경기,수원시장안구,병원,100병상이상,8
경기,수원시장안구,병원,30~99병상,19
경기,수원시권선구,병원,100병상이상,29
경기,수원시권선구,병원,30~99병상,38
경기,수원시팔달구,종합병원,500병상이상,336
경기,수원시팔달구,종합병원,300~499병상,71
경기,수원시팔달구,병원,100병상이상,52
경기,수원시팔달구,병원,30~99병상,46
경기,수원시영통구,상급종합,소계,608
경기,수원시영통구,병원,100병상이상,22
경기,수원시영통구,병원,30~99병상,66
경기,성남시수정구,종합병원,100~299병상,28
경기,성남시수정구,병원,100병상이상,31
경기,성남시중원구,종합병원,100~299병상,43
경기,성남시중원구,병원,30~99병상,10
경기,성남시분당구,상급종합,소계,566
경기,성남시분당구,종합병원,500병상이상,828
경기,성남시분당구,병원,100병상이상,31
경기,성남시분당구,병원,30~99병상,81
경기,의정부시,종합병원,500병상이상,287
경기,의정부시,종합병원,100~299병상,41
경기,의정부시,병원,100병상이상,83
경기,의정부시,병원,30~99병상,44
