"시군구별","유형별","진료과목별","시점","전문의수[명]",
"전국","상급종합","내과","2015년","2880",
"전국","상급종합","신경과","2015년","400",
"전국","상급종합","정신건강의학과","2015년","318",
"전국","상급종합","외과","2015년","946",
"전국","상급종합","정형외과","2015년","555",
"전국","상급종합","신경외과","2015년","450",
"전국","상급종합","흉부외과","2015년","326",
"전국","상급종합","성형외과","2015년","193",
"전국","상급종합","마취통증의학과","2015년","655",
"전국","상급종합","산부인과","2015년","410",
"전국","상급종합","소아청소년과","2015년","559",
"전국","상급종합","안과","2015년","369",
"전국","상급종합","이비인후과","2015년","348",
"전국","상급종합","피부과","2015년","175",
"전국","상급종합","비뇨기과","2015년","305",
"전국","상급종합","영상의학과","2015년","960",
"전국","상급종합","방사선종양학과","2015년","153",
"전국","상급종합","병리과","2015년","338",
"전국","상급종합","진단검사의학과","2015년","234",
"전국","상급종합","재활의학과","2015년","204",
"전국","상급종합","핵의학과","2015년","118",
"전국","상급종합","가정의학과","2015년","235",
"전국","상급종합","응급의학과","2015년","295",
"전국","상급종합","직업환경의학과","2015년","69",
"전국","상급종합","예방의학과","2015년","55",
"전국","500병상이상","내과","2015년","1380",
"전국","500병상이상","신경과","2015년","198",
"전국","500병상이상","정신건강의학과","2015년","180",
"전국","500병상이상","외과","2015년","446",
"전국","500병상이상","정형외과","2015년","379",
"전국","500병상이상","신경외과","2015년","258",
"전국","500병상이상","흉부외과","2015년","145",
"전국","500병상이상","성형외과","2015년","101",
"전국","500병상이상","마취통증의학과","2015년","318",
"전국","500병상이상","산부인과","2015년","248",
"전국","500병상이상","소아청소년과","2015년","263",
"전국","500병상이상","안과","2015년","167",
"전국","500병상이상","이비인후과","2015년","177",
"전국","500병상이상","피부과","2015년","88",
"전국","500병상이상","비뇨기과","2015년","170",
"전국","500병상이상","영상의학과","2015년","411",
"전국","500병상이상","방사선종양학과","2015년","62",
"전국","500병상이상","병리과","2015년","153",
"전국","500병상이상","진단검사의학과","2015년","108",
"전국","500병상이상","재활의학과","2015년","128",
"전국","500병상이상","핵의학과","2015년","45",
"전국","500병상이상","가정의학과","2015년","153",
"전국","500병상이상","응급의학과","2015년","252",
"전국","500병상이상","직업환경의학과","2015년","41",
"전국","500병상이상","예방의학과","2015년","17",
